Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,127.930000,128.500000,116.000000,119.089996,119.089996,1303193
2012-01-01,122.500000,130.500000,118.000000,130.220001,130.220001,931438
2012-02-01,130.729996,131.630005,126.000000,126.169998,126.169998,807001
2012-03-01,126.480003,128.000000,121.000000,122.400002,122.400002,862010
2012-04-01,122.800003,125.309998,120.540001,122.970001,122.970001,492245
2012-05-01,122.949997,124.500000,117.750000,124.320000,124.320000,1075470
2012-06-01,123.760002,128.869995,121.790001,123.180000,123.180000,1250733
2012-07-01,122.000000,131.630005,122.000000,129.000000,129.000000,1101515
2012-08-01,128.750000,131.369995,126.389999,130.259995,130.259995,769935
2012-09-01,131.000000,135.490005,129.000000,135.490005,135.490005,627326
2012-10-01,134.550003,135.800003,128.399994,130.149994,130.149994,573796
2012-11-01,130.300003,134.199997,127.980003,129.000000,129.000000,550547
2012-12-01,129.119995,129.940002,118.639999,122.510002,122.510002,447377
2013-01-01,122.510002,125.760002,119.699997,119.870003,119.870003,1027148
2013-02-01,119.599998,123.000000,115.300003,118.099998,118.099998,634786
2013-03-01,118.070000,123.080002,116.849998,121.629997,121.629997,535053
2013-04-01,121.629997,121.949997,101.000000,109.709999,109.709999,2151886
2013-05-01,108.839996,110.660004,102.279999,104.949997,104.949997,968890
2013-06-01,104.639999,105.519997,88.110001,91.250000,91.250000,471969
2013-07-01,92.089996,99.199997,91.000000,96.260002,96.260002,496808
2013-08-01,97.209999,104.500000,93.570000,103.309998,103.309998,311495
2013-09-01,102.500000,104.550003,94.599998,96.150002,96.150002,325118
2013-10-01,95.809998,96.300003,90.050003,94.959999,94.959999,449753
2013-11-01,95.389999,96.500000,88.309998,89.790001,89.790001,287608
2013-12-01,91.900002,91.900002,84.940002,85.029999,85.029999,284559
2014-01-01,85.029999,90.699997,85.000000,89.510002,89.510002,759578
2014-02-01,89.800003,95.599998,89.629997,93.440002,93.440002,402087
2014-03-01,95.330002,97.290001,90.800003,90.900002,90.900002,511712
2014-04-01,90.800003,93.750000,89.320000,90.660004,90.660004,285624
2014-05-01,90.660004,93.550003,88.339996,88.779999,88.779999,411996
2014-06-01,88.500000,94.639999,88.000000,93.580002,93.580002,347783
2014-07-01,93.699997,96.120003,92.660004,93.419998,93.419998,595504
2014-08-01,93.260002,95.910004,93.000000,95.190002,95.190002,341964
2014-09-01,95.290001,95.500000,85.000000,93.190002,93.190002,316285
2014-10-01,93.190002,95.699997,89.580002,90.379997,90.379997,691080
2014-11-01,90.470001,94.349998,88.570000,92.230003,92.230003,524417
2014-12-01,91.900002,96.800003,90.180000,96.059998,96.059998,303240
2015-01-01,96.059998,113.190002,94.230003,109.550003,109.550003,3292476
2015-02-01,109.739998,110.029999,101.949997,105.209999,105.209999,729640
2015-03-01,105.720001,107.519997,103.099998,107.169998,107.169998,571311
2015-04-01,106.809998,110.580002,102.050003,102.129997,102.129997,946091
2015-05-01,102.129997,107.940002,98.470001,105.059998,105.059998,1062324
2015-06-01,105.269997,106.660004,100.589996,101.690002,101.690002,294845
2015-07-01,102.000000,103.410004,95.000000,96.040001,96.040001,1435168
2015-08-01,95.500000,99.599998,94.300003,97.769997,97.769997,530059
2015-09-01,98.050003,99.550003,94.139999,96.650002,96.650002,312381
2015-10-01,96.669998,103.459999,95.750000,100.110001,100.110001,445306
2015-11-01,99.900002,100.070000,95.540001,97.190002,97.190002,422688
2015-12-01,97.800003,97.870003,92.949997,93.989998,93.989998,273699
2016-01-01,93.989998,99.849998,92.410004,99.720001,99.720001,818564
2016-02-01,99.989998,109.769997,98.980003,109.750000,109.750000,1348430
2016-03-01,109.800003,112.820000,104.360001,104.790001,104.790001,1694045
2016-04-01,104.699997,109.300003,102.940002,109.050003,109.050003,1542215
2016-05-01,109.500000,112.470001,104.290001,105.239998,105.239998,915369
2016-06-01,105.500000,120.459999,104.470001,114.720001,114.720001,1671180
2016-07-01,115.000000,119.959999,114.050003,116.360001,116.360001,2173635
2016-08-01,116.000000,118.180000,112.639999,113.120003,113.120003,543767
2016-09-01,113.110001,115.839996,105.150002,113.260002,113.260002,722600
2016-10-01,113.000000,113.099998,107.830002,111.930000,111.930000,930706
2016-11-01,112.699997,114.879997,106.720001,106.970001,106.970001,1109386
2016-12-01,106.610001,108.000000,103.769997,105.510002,105.510002,699856
2017-01-01,105.300003,109.889999,105.300003,108.300003,108.300003,865185
2017-02-01,107.849998,114.480003,107.379997,113.930000,113.930000,1590978
2017-03-01,113.900002,113.919998,108.120003,112.139999,112.139999,1097953
2017-04-01,112.419998,116.510002,111.129997,111.889999,111.889999,1339442
2017-05-01,111.889999,112.519997,107.150002,108.440002,108.440002,2185695
2017-06-01,108.879997,110.730003,104.410004,104.720001,104.720001,665864
2017-07-01,104.400002,104.750000,101.559998,103.400002,103.400002,467216
2017-08-01,103.260002,106.550003,102.209999,106.529999,106.529999,410258
2017-09-01,106.669998,108.800003,103.720001,104.389999,104.389999,406099
2017-10-01,104.059998,106.300003,103.500000,104.650002,104.650002,476382
2017-11-01,105.070000,106.599998,102.900002,104.339996,104.339996,1455657
2017-12-01,102.800003,104.300003,101.150002,104.139999,104.139999,344796
2018-01-01,104.139999,106.019997,102.510002,103.449997,103.449997,1239892
2018-02-01,103.449997,104.989998,102.320000,103.529999,103.529999,400271
2018-03-01,103.199997,104.760002,102.040001,103.040001,103.040001,478484
2018-04-01,103.040001,105.940002,103.040001,104.279999,104.279999,927260
2018-05-01,104.279999,108.510002,104.120003,107.019997,107.019997,736003
2018-06-01,106.419998,107.620003,102.599998,102.669998,102.669998,747741
2018-07-01,102.639999,103.410004,99.199997,100.029999,100.029999,823909
2018-08-01,100.050003,101.879997,98.099998,99.000000,99.000000,540600
2018-09-01,98.910004,99.389999,96.779999,98.239998,98.239998,461868
2018-10-01,98.080002,104.500000,97.500000,102.720001,102.720001,959873
2018-11-01,103.070000,103.650002,101.379997,103.029999,103.029999,675225
2018-12-01,103.300003,107.199997,103.300003,106.690002,106.690002,1005440
2019-01-01,106.690002,110.250000,105.000000,110.199997,110.199997,877880
2019-02-01,110.000000,113.300003,109.269997,110.300003,110.300003,736333
2019-03-01,110.050003,111.669998,107.949997,110.160004,110.160004,556678
2019-04-01,109.510002,110.949997,107.389999,109.339996,109.339996,674022
2019-05-01,109.339996,111.500000,107.930000,109.260002,109.260002,775991
2019-06-01,111.980003,120.180000,111.239998,118.239998,118.239998,1324874
2019-07-01,116.500000,122.919998,116.309998,122.309998,122.309998,1110490
2019-08-01,121.419998,133.179993,121.000000,132.570007,132.570007,2303363
2019-09-01,132.149994,134.660004,128.279999,128.279999,128.279999,1081366
2019-10-01,128.179993,131.660004,126.800003,129.160004,129.160004,860466
2019-11-01,128.979996,129.300003,124.699997,126.360001,126.360001,701602
2019-12-01,125.889999,129.229996,124.930000,128.589996,128.589996,539295
2020-01-01,128.589996,136.940002,128.589996,136.289993,136.289993,1340953
2020-02-01,135.389999,145.380005,133.520004,137.419998,137.419998,1094598
2020-03-01,136.350006,143.979996,124.029999,139.000000,139.000000,1058852
2020-04-01,137.690002,153.580002,136.460007,147.899994,147.899994,1325157
2020-05-01,147.899994,155.289993,146.240005,148.139999,148.139999,741638
2020-06-01,148.479996,149.800003,140.089996,149.500000,149.500000,896244
2020-07-01,151.559998,158.690002,149.669998,158.690002,158.690002,723603
2020-08-01,159.250000,166.000000,154.149994,156.509995,156.509995,670638
